job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size
Data Engineer,Mid-level,Full-time,Remote,2024,United States,148100,USD,148100,United States,Medium
Data Engineer,Mid-level,Full-time,Remote,2024,United States,98700,USD,98700,United States,Medium
Data Scientist,Senior-level,Full-time,Remote,2024,United States,140032,USD,140032,United States,Medium
Data Scientist,Senior-level,Full-time,Remote,2024,United States,100022,USD,100022,United States,Medium
BI Developer,Mid-level,Full-time,On-site,2024,United States,120000,USD,120000,United States,Medium
BI Developer,Mid-level,Full-time,On-site,2024,United States,62100,USD,62100,United States,Medium
Research Analyst,Entry-level,Full-time,On-site,2024,United States,250000,USD,250000,United States,Medium
Research Analyst,Entry-level,Full-time,On-site,2024,United States,150000,USD,150000,United States,Medium
Data Engineer,Executive-level,Full-time,Remote,2024,United States,219650,USD,219650,United States,Medium
Data Engineer,Executive-level,Full-time,Remote,2024,United States,136000,USD,136000,United States,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,87800,USD,87800,United States,Medium
Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,148100,USD,148100,United States,Medium
Data Scientist,Mid-level,Full-time,Remote,2024,United States,98700,USD,98700,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,145500,USD,145500,United States,Medium
Data Engineer,Mid-level,Full-time,On-site,2024,United States,93000,USD,93000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,85000,USD,85000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,75000,USD,75000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,105000,USD,105000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,204662,USD,204662,United States,Medium
Data Engineer,Senior-level,Full-time,On-site,2024,United States,184662,USD,184662,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium
Data Scientist,Mid-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,115000,USD,115000,United States,Medium
Data Analyst,Entry-level,Full-time,On-site,2024,United States,85000,USD,85000,United States,Medium
Director of Data Science,Executive-level,Full-time,On-site,2024,United States,225000,USD,225000,United States,Medium
